sort_id,cluster_id,n_cached_windows,n_valid_dev_pairs,n_stable_pairs,n_failing_pairs,status,start_s,end_s,span_s,reference_end_s,failing_start_s,reference_missing_pct,failing_missing_pct,difference_pp,intervening_windows,dev_interval_index,source_rows,nominal_samples_in_four_fits,historical_samples_in_four_fits,fitted_window_duration_s,KSLabel,ContamPct,source_voltage_exists,template_file_exists
legacy_luke0804_v2v1_g0_imec0,392,89,45.0,18.0,1.0,qualifying_transition,5860.516940762075,8608.270496681098,2747.753555919023,6019.748144648155,8270.609917281556,3.5832218925986323,16.709799221713197,13.126577329114564,15.0,5.0,"[17968, 17969, 17985, 17986]",4000.0,3996.0,496.8403163375742,mua,22.6,False,True
legacy_luke0804_v2v1_g0_imec0,324,95,54.0,14.0,14.0,qualifying_transition,6472.033450726816,6801.055216229355,329.021765502539,6651.161730061342,6651.219863712505,4.1511919821518966,25.616451894520118,21.46525991236822,0.0,5.0,"[11786, 11787, 11788, 11789]",4000.0,3996.0,328.9290316622082,mua,26.9,False,True
legacy_luke0804_v2v1_g0_imec0,2,137,64.0,17.0,7.0,qualifying_transition,7091.4836374000815,7371.915203915759,280.43156651567733,7191.659518417451,7264.359215883021,0.4234834652467635,36.611534064151186,36.188050598904425,2.0,5.0,"[128, 129, 132, 133]",4000.0,3996.0,207.69250216821365,mua,27.3,False,True
rescue_luke0804_v2v1_g0_imec0,696,139,72.0,29.0,16.0,qualifying_transition,7196.308910503388,7476.372175005476,280.0632645020878,7249.402834113124,7313.617151853885,0.4183936260768185,29.921460688515346,29.50306706243853,2.0,5.0,"[25966, 25967, 25970, 25971]",4000.0,3996.0,215.50791156347714,mua,28.6,True,True
legacy_luke0804_v2v1_g0_imec0,514,155,70.0,11.0,18.0,qualifying_transition,6488.996010131604,7138.406093935688,649.410083804084,6648.445315210091,7012.854007514239,1.5923434302560326,16.94812551282639,15.355782082570357,5.0,5.0,"[27335, 27336, 27342, 27343]",4000.0,3996.0,284.9821247279342,mua,32.1,False,True
rescue_luke0804_v2v1_g0_imec0,545,117,56.0,28.0,2.0,qualifying_transition,7196.433311183515,7378.068870892572,181.6355597090569,7268.055469424603,7268.065869481462,0.6939439496005224,28.811669776990442,28.11772582738992,0.0,5.0,"[16275, 16276, 16277, 16278]",4000.0,3996.0,181.31329128047764,mua,34.6,True,True
legacy_luke0804_v2v1_g0_imec0,533,138,78.0,17.0,30.0,qualifying_transition,5828.493299014968,6028.505625860605,200.01232684563638,5908.007800405268,5962.2792304526965,3.5932060623207995,16.140965374519766,12.547759312198966,3.0,5.0,"[29182, 29183, 29187, 29188]",4000.0,3996.0,145.65122964131115,mua,35.1,False,True
rescue_luke0804_v2v1_g0_imec0,684,140,94.0,12.0,43.0,qualifying_transition,7217.192358011218,7409.560876399771,192.36851838855273,7261.610567522211,7261.618767567042,3.762549201347482,36.76243657507958,32.9998873737321,0.0,5.0,"[24502, 24503, 24504, 24505]",4000.0,3996.0,192.29155130108938,mua,36.6,True,True
rescue_luke0804_v2v1_g0_imec0,657,149,84.0,62.0,2.0,qualifying_transition,7178.952282277471,7410.057079112622,231.10479683515132,7252.581018155636,7252.586751520315,1.3018787011272959,21.579537538082107,20.27765883695481,0.0,5.0,"[22117, 22118, 22119, 22120]",4000.0,3996.0,230.52002697141597,mua,37.1,True,True
rescue_luke0804_v2v1_g0_imec0,673,101,51.0,26.0,3.0,qualifying_transition,6605.264279129671,6745.8993146796565,140.63503554998533,6683.85860882252,6683.864775522901,0.3082857677918254,33.744649390799786,33.43636362300796,0.0,5.0,"[23426, 23427, 23428, 23429]",4000.0,3996.0,140.61150208798972,mua,37.5,True,True
rescue_luke0804_v2v1_g0_imec0,694,189,80.0,29.0,8.0,qualifying_transition,5848.216640180237,5957.200802687792,108.98416250755508,5907.778765819752,5907.7840658487285,0.18146566376979623,16.399562671025585,16.21809700725579,0.0,5.0,"[25636, 25637, 25638, 25639]",4000.0,3996.0,108.95929570493718,mua,37.6,True,True
rescue_luke0804_v2v1_g0_imec0,660,225,77.0,20.0,9.0,qualifying_transition,6278.7091604461775,6403.553876333605,124.84471588742781,6337.19548020402,6337.220513674217,1.8626816755432434,27.021412659926916,25.158730984383674,0.0,5.0,"[22585, 22586, 22587, 22588]",4000.0,3996.0,124.75271538444031,mua,38.1,True,True
rescue_luke0804_v2v1_g0_imec0,537,84,7.0,2.0,3.0,qualifying_transition,5802.060387833641,5997.230188204097,195.16980037045687,5885.963046548316,5926.54960177746,4.292408844722907,18.90820821654861,14.615799371825702,1.0,5.0,"[15813, 15814, 15816, 15817]",4000.0,3996.0,154.5413115787187,mua,38.2,True,True
rescue_luke0804_v2v1_g0_imec0,674,140,35.0,8.0,10.0,qualifying_transition,7232.259473719856,7987.003766743049,754.7442930231928,7270.732150725287,7790.0293898398995,1.93013807583748,31.520979184698394,29.590841108860914,5.0,5.0,"[23567, 23568, 23574, 23575]",4000.0,3996.0,235.41522040120617,mua,38.8,True,True
legacy_luke0804_v2v1_g0_imec0,423,54,28.0,20.0,2.0,qualifying_transition,6827.261326170709,7306.408912444821,479.14758627411175,7069.836685718003,7069.9889198836345,0.5053016876784354,39.84551503795867,39.34021335028024,0.0,5.0,"[19685, 19686, 19687, 19688]",4000.0,3996.0,478.8132511128915,mua,39.7,False,True
legacy_luke0804_v2v1_g0_imec0,411,137,30.0,19.0,6.0,qualifying_transition,5929.16054938543,6447.460649715128,518.3001003296977,5983.20981155155,6329.73417274471,3.638574008686728,23.189386806890546,19.55081279820382,7.0,5.0,"[18776, 18777, 18785, 18786]",4000.0,3996.0,171.73860560018784,mua,40.9,False,True
legacy_luke0804_v2v1_g0_imec0,3,78,27.0,2.0,9.0,qualifying_transition,6457.145102662207,6928.097544131622,470.95244146941513,6641.588244387613,6812.23181066764,0.05800621645660365,45.07193494636513,45.01392872990853,3.0,5.0,"[224, 225, 229, 230]",4000.0,3996.0,300.23880813965025,mua,42.6,False,True
rescue_luke0804_v2v1_g0_imec0,644,254,70.0,8.0,24.0,qualifying_transition,6740.196283499904,6941.117615315275,200.92133181537065,6792.281868263492,6867.031610270449,1.8338391229378566,37.246059448582,35.41222032564414,3.0,5.0,"[20568, 20569, 20573, 20574]",4000.0,3996.0,126.14542299868663,mua,42.8,True,True
